Var1;Var2;MIDist;Jaccard
1;1;0.0;0.0
1;2;10.827254678901959;0.6450098200427536
1;24_00_0;0.0008022157969733712;6.968743995832108e-05
1;24_00_1;14.017790319552445;0.7555261591117677
1;24_01_1;13.953599300142415;0.7540954087307671
1;24_02_1;13.88105201755672;0.7524376022071005
1;24_03_1;13.791430286327106;0.7503382698574388
1;24_04_1;13.647576230499839;0.7465779474420116
1;24_05_1;13.438227542106791;0.7407200680699371
1;24_06_1;13.170341872103416;0.7330277935716282
1;24_07_1;12.92204292109633;0.7263169892194012
1;24_08_1;12.643840020971531;0.7189317131593814
1;24_09_1;12.211725781487294;0.7065930827982946
1;24_10_1;11.554576656618668;0.6867224902080694
1;24_m01_0;12.295260479435985;0.6897809765101772
1;24_m01_1;14.075936310292803;0.7568236412192494
1;24_m02_0;12.702311628104754;0.704383022923591
1;24_m02_1;14.132779160802455;0.7581244841475322
1;24_m03_0;12.983407447582767;0.7143592298032513
1;24_m03_1;14.192579102868049;0.7595682694436866
1;24_m04_0;13.201067053864215;0.7219728939164941
1;24_m04_1;14.247040944803265;0.7609113109361751
1;24_m05_0;13.375652591780405;0.7280395526895884
1;24_m05_1;14.283837337936962;0.76173027750045
1;24_m06_0;13.5410799428284;0.733734932499782
1;24_m06_1;14.313872420375976;0.7623312680921981
1;24_m07_0;13.673993011217497;0.7382697788989276
1;24_m07_1;14.333117862363736;0.7626471797283652
1;24_m08_0;13.784400625979336;0.741988097292552
1;24_m08_1;14.346919335806465;0.762792659823663
1;24_m09_0;13.879554367798814;0.7451991951630375
1;24_m09_1;14.355815645740694;0.7628268156675002
1;24_m10_0;13.966677811688317;0.7481030003547078
1;24_m10_1;14.358536935249509;0.7627087932380119
1;24_m11_0;14.038088088072062;0.7504934584289099
1;24_m12_0;14.10363080127266;0.7526566512481113
1;24_m13_0;14.16187755317639;0.7546083033601754
1;24_m14_0;14.218689901371924;0.7564647030164011
1;24_m15_0;14.267997467644912;0.7580873936031627
1;24_m16_0;14.310587483544978;0.759488863098371
1;24_m17_0;14.355692800948836;0.7609566125884107
1;24_m18_0;14.388460929555345;0.7620291676929343
1;24_m19_0;14.4275723222935;0.7632958430213448
1;24_m20_0;14.457125436464072;0.764260629913516
1;3;12.136686782964443;0.7027964678783508
1;7;11.554916123099696;0.6867399768048703
1;999;10.470286514714813;0.6400338147597036
2;1;10.827254678901959;0.6450098200427536
2;2;0.0;0.0
2;24_00_0;10.827276785883324;0.6449912628093826
2;24_00_1;13.324830247490418;0.737439911936681
2;24_01_1;13.272503283645943;0.7363365804394708
2;24_02_1;13.209497751078574;0.7349154935568838
2;24_03_1;13.11721352492606;0.7326000007093161
2;24_04_1;12.97050281090355;0.7285375721510553
2;24_05_1;12.755929944190623;0.722191683593118
2;24_06_1;12.513360306825493;0.7150331760873357
2;24_07_1;12.229210439688133;0.706620713149405
2;24_08_1;11.79035927121731;0.692650836033056
2;24_09_1;11.281793127080956;0.6763901635713143
2;24_10_1;10.360219395946327;0.6438779789988093
2;24_m01_0;12.72864236762247;0.7109620533347486
2;24_m01_1;13.38284115038931;0.7388123572308382
2;24_m02_0;13.16269270858311;0.7262065283805552
2;24_m02_1;13.449091859200376;0.7405169390530312
2;24_m03_0;13.312114794799644;0.7313909745764307
2;24_m03_1;13.517686966294402;0.7423444628007699
2;24_m04_0;13.496142883361465;0.7377324068477727
2;24_m04_1;13.565141149800786;0.7435176782185214
2;24_m05_0;13.70991524355593;0.7450586840903005
2;24_m05_1;13.599221568917784;0.7442916169663094
2;24_m06_0;13.965652398328256;0.7537134326643905
2;24_m06_1;13.619222843536456;0.7445876083278173
2;24_m07_0;14.149142130364782;0.7598450526014455
2;24_m07_1;13.636047805184626;0.7448458464198823
2;24_m08_0;14.29763141991623;0.7647382305811969
2;24_m08_1;13.639511792712586;0.7446551423379935
2;24_m09_0;14.415284548497041;0.7686102762602195
2;24_m09_1;13.643032814045922;0.7445168106946154
2;24_m10_0;14.51154110283083;0.7717374087753783
2;24_m10_1;13.643428590701;0.7443224283467771
2;24_m11_0;14.58819664898044;0.774236700169277
2;24_m12_0;14.655543185137764;0.7764007556942328
2;24_m13_0;14.709242249323196;0.7781551449460918
2;24_m14_0;14.7564123987721;0.7796513579729604
2;24_m15_0;14.793887912708252;0.7808519330200089
2;24_m16_0;14.830133638956779;0.7820148607576357
2;24_m17_0;14.864470829865871;0.7831009320942544
2;24_m18_0;14.890611156742139;0.7839356299212455
2;24_m19_0;14.916067243874547;0.7847354793502973
2;24_m20_0;14.939041604267969;0.785468179981172
2;3;10.96904525418083;0.6628962319484136
2;7;10.360588601978339;0.6438976933897621
2;999;9.836921605890176;0.6185142441478478
24_00_0;1;0.0008022157969733712;6.968743995832108e-05
24_00_0;2;10.827276785883324;0.6449912628093826
24_00_0;24_00_0;0.0;0.0
24_00_0;24_00_1;14.018552815986855;0.7555311185351067
24_00_0;24_01_1;13.954782736359764;0.7541146207171119
24_00_0;24_02_1;13.882466349321843;0.7524647773740234
24_00_0;24_03_1;13.792164505047188;0.7503425652917323
24_00_0;24_04_1;13.64828874046187;0.7465817018124422
24_00_0;24_05_1;13.438433432494895;0.7407065473819605
24_00_0;24_06_1;13.171934537549333;0.7330632941249178
24_00_0;24_07_1;12.92256166894147;0.7263148934308077
24_00_0;24_08_1;12.64447923836924;0.7189343019141864
24_00_0;24_09_1;12.212402618601853;0.7065977143234964
24_00_0;24_10_1;11.554931083213837;0.6867156630614764
24_00_0;24_m01_0;12.296094871333516;0.6897920539147708
