Basis;System;Distance;Alpha;P;Value
aug-cc-pVQZ;H;0.4;-0.8;0;0.000036412040
aug-cc-pVQZ;H;0.4;-0.9;0;0.000041879393
aug-cc-pVQZ;H;0.4;-1.0;0;0.000045684784
aug-cc-pVQZ;H;0.4;-1.1;0;0.000047570210
aug-cc-pVQZ;H;0.4;-1.2;0;0.000047517169
aug-cc-pVQZ;H;0.4;-1.3;0;0.000045713745
aug-cc-pVQZ;H;0.4;-1.4;0;0.000042495231
aug-cc-pVQZ;H;0.4;-1.5;0;0.000038274866
aug-cc-pVQZ;H;0.5;1.0;1;0.000000015652
aug-cc-pVQZ;H;0.5;0.9;1;0.000000037766
aug-cc-pVQZ;H;0.5;0.8;1;0.000000094448
aug-cc-pVQZ;H;0.5;0.7;1;0.000000158739
aug-cc-pVQZ;H;0.5;0.6;1;0.000000213249
aug-cc-pVQZ;H;0.5;0.5;1;0.000000249188
aug-cc-pVQZ;H;0.5;0.4;1;0.000000264362
aug-cc-pVQZ;H;0.5;0.3;1;0.000000260895
aug-cc-pVQZ;H;0.5;0.2;1;0.000000243161
aug-cc-pVQZ;H;0.5;0.1;1;0.000000216205
aug-cc-pVQZ;H;0.5;0.0;1;0.000000184700
aug-cc-pVQZ;H;0.5;0.0;0;0.000000000993
aug-cc-pVQZ;H;0.5;-0.1;0;0.000000209656
aug-cc-pVQZ;H;0.5;-0.2;0;0.000001013389
aug-cc-pVQZ;H;0.5;-0.3;0;0.000002602650
aug-cc-pVQZ;H;0.5;-0.4;0;0.000005017358
aug-cc-pVQZ;H;0.5;-0.5;0;0.000008125650
aug-cc-pVQZ;H;0.5;-0.6;0;0.000011648939
aug-cc-pVQZ;H;0.5;-0.7;0;0.000015220892
aug-cc-pVQZ;H;0.5;-0.8;0;0.000018460887
aug-cc-pVQZ;H;0.5;-0.9;0;0.000021042285
aug-cc-pVQZ;H;0.5;-1.0;0;0.000022741036
aug-cc-pVQZ;H;0.5;-1.1;0;0.000023457829
aug-cc-pVQZ;H;0.5;-1.2;0;0.000023214606
aug-cc-pVQZ;H;0.5;-1.3;0;0.000022131615
aug-cc-pVQZ;H;0.5;-1.4;0;0.000020393730
aug-cc-pVQZ;H;0.5;-1.5;0;0.000018214598
aug-cc-pVQZ;H;0.6;1.0;1;0.000000027481
aug-cc-pVQZ;H;0.6;0.9;1;0.000000199013
aug-cc-pVQZ;H;0.6;0.8;1;0.000000597310
aug-cc-pVQZ;H;0.6;0.7;1;0.000001043030
aug-cc-pVQZ;H;0.6;0.6;1;0.000001419470
aug-cc-pVQZ;H;0.6;0.5;1;0.000001667517
aug-cc-pVQZ;H;0.6;0.4;1;0.000001772775
aug-cc-pVQZ;H;0.6;0.3;1;0.000001750253
aug-cc-pVQZ;H;0.6;0.2;1;0.000001630290
aug-cc-pVQZ;H;0.6;0.1;1;0.000001447673
aug-cc-pVQZ;H;0.6;0.0;1;0.000001234483
aug-cc-pVQZ;H;0.6;0.0;0;0.000000001369
aug-cc-pVQZ;H;0.6;-0.1;0;0.000000412164
aug-cc-pVQZ;H;0.6;-0.2;0;0.000001948264
aug-cc-pVQZ;H;0.6;-0.3;0;0.000004930069
aug-cc-pVQZ;H;0.6;-0.4;0;0.000009409094
aug-cc-pVQZ;H;0.6;-0.5;0;0.000015132457
aug-cc-pVQZ;H;0.6;-0.6;0;0.000021587819
aug-cc-pVQZ;H;0.6;-0.7;0;0.000028108559
aug-cc-pVQZ;H;0.6;-0.8;0;0.000034005143
aug-cc-pVQZ;H;0.6;-0.9;0;0.000038687531
aug-cc-pVQZ;H;0.6;-1.0;0;0.000041752413
aug-cc-pVQZ;H;0.6;-1.1;0;0.000043022921
aug-cc-pVQZ;H;0.6;-1.2;0;0.000042542091
aug-cc-pVQZ;H;0.6;-1.3;0;0.000040531187
aug-cc-pVQZ;H;0.6;-1.4;0;0.000037328566
aug-cc-pVQZ;H;0.6;-1.5;0;0.000033324568
aug-cc-pVQZ;H;0.7;1.0;1;0.000000023813
aug-cc-pVQZ;H;0.7;0.9;1;0.000000050228
aug-cc-pVQZ;H;0.7;0.8;1;0.000000115612
aug-cc-pVQZ;H;0.7;0.7;1;0.000000188481
aug-cc-pVQZ;H;0.7;0.6;1;0.000000248720
aug-cc-pVQZ;H;0.7;0.5;1;0.000000286544
aug-cc-pVQZ;H;0.7;0.4;1;0.000000300033
aug-cc-pVQZ;H;0.7;0.3;1;0.000000292282
aug-cc-pVQZ;H;0.7;0.2;1;0.000000268847
aug-cc-pVQZ;H;0.7;0.1;1;0.000000235834
aug-cc-pVQZ;H;0.7;0.0;1;0.000000198690
aug-cc-pVQZ;H;0.7;0.0;0;0.000000001094
aug-cc-pVQZ;H;0.7;-0.1;0;0.000000085152
aug-cc-pVQZ;H;0.7;-0.2;0;0.000000405298
aug-cc-pVQZ;H;0.7;-0.3;0;0.000001037312
aug-cc-pVQZ;H;0.7;-0.4;0;0.000002000893
aug-cc-pVQZ;H;0.7;-0.5;0;0.000003248909
aug-cc-pVQZ;H;0.7;-0.6;0;0.000004674626
aug-cc-pVQZ;H;0.7;-0.7;0;0.000006133281
aug-cc-pVQZ;H;0.7;-0.8;0;0.000007470776
aug-cc-pVQZ;H;0.7;-0.9;0;0.000008551578
aug-cc-pVQZ;H;0.7;-1.0;0;0.000009279557
aug-cc-pVQZ;H;0.7;-1.1;0;0.000009608496
aug-cc-pVQZ;H;0.7;-1.2;0;0.000009542059
aug-cc-pVQZ;H;0.7;-1.3;0;0.000009125432
aug-cc-pVQZ;H;0.7;-1.4;0;0.000008432031
aug-cc-pVQZ;H;0.7;-1.5;0;0.000007548828
aug-cc-pVQZ;H;0.8;1.0;1;0.000000009244
aug-cc-pVQZ;H;0.8;0.9;1;0.000000017078
aug-cc-pVQZ;H;0.8;0.8;1;0.000000033575
aug-cc-pVQZ;H;0.8;0.7;1;0.000000052050
aug-cc-pVQZ;H;0.8;0.6;1;0.000000067924
aug-cc-pVQZ;H;0.8;0.5;1;0.000000078687
aug-cc-pVQZ;H;0.8;0.4;1;0.000000083538
aug-cc-pVQZ;H;0.8;0.3;1;0.000000082894
aug-cc-pVQZ;H;0.8;0.2;1;0.000000077877
aug-cc-pVQZ;H;0.8;0.1;1;0.000000069889
aug-cc-pVQZ;H;0.8;0.0;1;0.000000060299
aug-cc-pVQZ;H;0.8;0.0;0;0.000000000552
aug-cc-pVQZ;H;0.8;-0.1;0;0.000000036447
aug-cc-pVQZ;H;0.8;-0.2;0;0.000000190822
aug-cc-pVQZ;H;0.8;-0.3;0;0.000000530575
aug-cc-pVQZ;H;0.8;-0.4;0;0.000001098026
aug-cc-pVQZ;H;0.8;-0.5;0;0.000001893570
aug-cc-pVQZ;H;0.8;-0.6;0;0.000002870237
aug-cc-pVQZ;H;0.8;-0.7;0;0.000003941152
aug-cc-pVQZ;H;0.8;-0.8;0;0.000004996747
aug-cc-pVQZ;H;0.8;-0.9;0;0.000005926148
aug-cc-pVQZ;H;0.8;-1.0;0;0.000006636924
aug-cc-pVQZ;H;0.8;-1.1;0;0.000007068860
aug-cc-pVQZ;H;0.8;-1.2;0;0.000007199739
aug-cc-pVQZ;H;0.8;-1.3;0;0.000007043446
aug-cc-pVQZ;H;0.8;-1.4;0;0.000006642329
aug-cc-pVQZ;H;0.8;-1.5;0;0.000006056553
aug-cc-pVQZ;H;0.9;1.0;1;0.000000004552
aug-cc-pVQZ;H;0.9;0.9;1;0.000000018417
aug-cc-pVQZ;H;0.9;0.8;1;0.000000048784
aug-cc-pVQZ;H;0.9;0.7;1;0.000000082832
aug-cc-pVQZ;H;0.9;0.6;1;0.000000112030
aug-cc-pVQZ;H;0.9;0.5;1;0.000000131852
aug-cc-pVQZ;H;0.9;0.4;1;0.000000140974
aug-cc-pVQZ;H;0.9;0.3;1;0.000000140268
aug-cc-pVQZ;H;0.9;0.2;1;0.000000131832
aug-cc-pVQZ;H;0.9;0.1;1;0.000000118204
aug-cc-pVQZ;H;0.9;0.0;1;0.000000101819
aug-cc-pVQZ;H;0.9;0.0;0;0.000000000425
aug-cc-pVQZ;H;0.9;-0.1;0;0.000000043015
aug-cc-pVQZ;H;0.9;-0.2;0;0.000000224878
aug-cc-pVQZ;H;0.9;-0.3;0;0.000000623649
aug-cc-pVQZ;H;0.9;-0.4;0;0.000001288646
aug-cc-pVQZ;H;0.9;-0.5;0;0.000002220481
aug-cc-pVQZ;H;0.9;-0.6;0;0.000003364470
aug-cc-pVQZ;H;0.9;-0.7;0;0.000004619147
aug-cc-pVQZ;H;0.9;-0.8;0;0.000005856282
aug-cc-pVQZ;H;0.9;-0.9;0;0.000006945911
aug-cc-pVQZ;H;0.9;-1.0;0;0.000007779530
aug-cc-pVQZ;H;0.9;-1.1;0;0.000008286330
aug-cc-pVQZ;H;0.9;-1.2;0;0.000008440065
aug-cc-pVQZ;H;0.9;-1.3;0;0.000008256886
aug-cc-pVQZ;H;0.9;-1.4;0;0.000007786408
aug-cc-pVQZ;H;0.9;-1.5;0;0.000007099220
aug-cc-pVQZ;H;1.0;1.0;1;0.000000005676
aug-cc-pVQZ;H;1.0;0.9;1;0.000000021055
aug-cc-pVQZ;H;1.0;0.8;1;0.000000056224
aug-cc-pVQZ;H;1.0;0.7;1;0.000000095586
aug-cc-pVQZ;H;1.0;0.6;1;0.000000128955
aug-cc-pVQZ;H;1.0;0.5;1;0.000000151108
aug-cc-pVQZ;H;1.0;0.4;1;0.000000160695
aug-cc-pVQZ;H;1.0;0.3;1;0.000000158942
aug-cc-pVQZ;H;1.0;0.2;1;0.000000148452
aug-cc-pVQZ;H;1.0;0.1;1;0.000000132257
aug-cc-pVQZ;H;1.0;0.0;1;0.000000113193
aug-cc-pVQZ;H;1.0;0.0;0;0.000000000480
aug-cc-pVQZ;H;1.0;-0.1;0;0.000000043142
aug-cc-pVQZ;H;1.0;-0.2;0;0.000000222598
aug-cc-pVQZ;H;1.0;-0.3;0;0.000000611646
aug-cc-pVQZ;H;1.0;-0.4;0;0.000001255118
aug-cc-pVQZ;H;1.0;-0.5;0;0.000002151088
