H.wfn 1.0 1 Final result: 0.4993057013
H.wfn 0.9 1 Final result: 0.5079518244
H.wfn 0.8 1 Final result: 0.5087247479
H.wfn 0.7 1 Final result: 0.5020089502
H.wfn 0.6 1 Final result: 0.4884737866
H.wfn 0.5 1 Final result: 0.4690043816
H.wfn 0.4 1 Final result: 0.4446285724
H.wfn 0.3 1 Final result: 0.4164459199
H.wfn 0.2 1 Final result: 0.3855635003
H.wfn 0.1 1 Final result: 0.3530417407
H.wfn 0.0 1 Final result: 0.3198521272
H.wfn 0.0 0 Final result: 0.4999994720
H.wfn -0.1 0 Final result: 0.8319459290
H.wfn -0.2 0 Final result: 1.2947119556
H.wfn -0.3 0 Final result: 1.8822246684
H.wfn -0.4 0 Final result: 2.5743205535
H.wfn -0.5 0 Final result: 3.3391589197
H.wfn -0.6 0 Final result: 4.1370211476
H.wfn -0.7 0 Final result: 4.9247616488
H.wfn -0.8 0 Final result: 5.6602139258
H.wfn -0.9 0 Final result: 6.3059943744
H.wfn -1.0 0 Final result: 6.8323380118
H.wfn -1.1 0 Final result: 7.2188002461
H.wfn -1.2 0 Final result: 7.4548346901
H.wfn -1.3 0 Final result: 7.5393896308
H.wfn -1.4 0 Final result: 7.4797480714
H.wfn -1.5 0 Final result: 7.2898706379
