H.wfn 1.0 1 Final result: 0.4998077704
H.wfn 0.9 1 Final result: 0.5084938363
H.wfn 0.8 1 Final result: 0.5092919392
H.wfn 0.7 1 Final result: 0.5025877799
H.wfn 0.6 1 Final result: 0.4890521196
H.wfn 0.5 1 Final result: 0.4695716825
H.wfn 0.4 1 Final result: 0.4451760462
H.wfn 0.3 1 Final result: 0.4169665674
H.wfn 0.2 1 Final result: 0.3860520849
H.wfn 0.1 1 Final result: 0.3534946774
H.wfn 0.0 1 Final result: 0.3202673149
H.wfn 0.0 0 Final result: 0.4999997597
H.wfn -0.1 0 Final result: 0.8320110291
H.wfn -0.2 0 Final result: 1.2948682053
H.wfn -0.3 0 Final result: 1.8824942104
H.wfn -0.4 0 Final result: 2.5747245977
H.wfn -0.5 0 Final result: 3.3397205894
H.wfn -0.6 0 Final result: 4.1377664006
H.wfn -0.7 0 Final result: 4.9257178595
H.wfn -0.8 0 Final result: 5.6614066122
H.wfn -0.9 0 Final result: 6.3074430592
H.wfn -1.0 0 Final result: 6.8340523042
H.wfn -1.1 0 Final result: 7.2207770218
H.wfn -1.2 0 Final result: 7.4570568809
H.wfn -1.3 0 Final result: 7.5418267400
H.wfn -1.4 0 Final result: 7.4823582028
H.wfn -1.5 0 Final result: 7.2926036128
